,anio,mes,dia,hora,minuto,segundo,id_estacion,voltaje_sistema,nivel_mar_leveltrol,nivel_mar_burbujeador,sw_1,sw_2,temperatura_agua,nivel_mar_ott_rsl,radiacion_solar,direccion_viento,magnitud_viendo,temperatura_aire,humedad_relativa,presion_atmosferica,precipitacion,voltaje_estacion_met,nivel_mar_sutron
31,2011,1.0,1.0,0.0,32.0,0.0,101.0,12.54,1.978,2.369,0.0,0.84,16.33,9.999,9999.9,999.0,99.9,13.9,999.9,1019.16,999.99,99.9,9.999
32,2011,1.0,1.0,0.0,33.0,0.0,101.0,12.54,1.988,2.353,0.0,0.97,16.33,9.999,9999.9,999.0,99.9,14.0,999.9,1019.13,999.99,99.9,9.999
33,2011,1.0,1.0,0.0,34.0,0.0,101.0,12.54,1.984,2.353,0.0,0.97,16.32,9.999,9999.9,999.0,99.9,14.1,999.9,1019.14,999.99,99.9,9.999
34,2011,1.0,1.0,0.0,35.0,0.0,101.0,12.54,1.987,2.356,0.0,0.89,16.32,9.999,9999.9,999.0,99.9,14.2,999.9,1019.15,999.99,99.9,9.999
35,2011,1.0,1.0,0.0,36.0,0.0,101.0,12.53,1.975,2.368,0.0,0.77,16.31,9.999,9999.9,999.0,99.9,14.3,999.9,1019.16,999.99,99.9,9.999
36,2011,1.0,1.0,0.0,37.0,0.0,101.0,12.53,1.971,2.369,0.0,0.79,16.32,9.999,9999.9,999.0,99.9,14.3,999.9,1019.16,999.99,99.9,9.999
37,2011,1.0,1.0,0.0,38.0,0.0,101.0,12.52,1.971,2.368,0.0,0.7,16.32,9.999,9999.9,999.0,99.9,14.3,999.9,1019.14,999.99,99.9,9.999
38,2011,1.0,1.0,0.0,39.0,0.0,101.0,12.52,1.968,2.363,0.0,0.75,16.32,9.999,9999.9,999.0,99.9,14.3,999.9,1019.2,999.99,99.9,9.999
39,2011,1.0,1.0,0.0,40.0,0.0,101.0,12.51,1.961,2.373,0.0,0.72,16.31,9.999,9999.9,999.0,99.9,14.2,999.9,1019.15,999.99,99.9,9.999
40,2011,1.0,1.0,0.0,41.0,0.0,101.0,12.5,1.952,2.381,0.0,0.44,16.31,9.999,9999.9,999.0,99.9,14.2,999.9,1019.14,999.99,99.9,9.999
41,2011,1.0,1.0,0.0,42.0,0.0,101.0,12.5,1.959,2.373,0.0,0.54,16.3,9.999,9999.9,999.0,99.9,14.2,999.9,1019.2,999.99,99.9,9.999
42,2011,1.0,1.0,0.0,43.0,0.0,101.0,12.49,1.971,2.362,0.0,0.79,16.29,9.999,9999.9,999.0,99.9,14.1,999.9,1019.2,999.99,99.9,9.999
43,2011,1.0,1.0,0.0,44.0,0.0,101.0,12.49,1.981,2.358,0.0,0.9,16.28,9.999,9999.9,999.0,99.9,14.0,999.9,1019.2,999.99,99.9,9.999
44,2011,1.0,1.0,0.0,45.0,0.0,101.0,12.48,1.987,2.35,0.0,0.93,16.27,9.999,9999.9,999.0,99.9,13.9,999.9,1019.24,999.99,99.9,9.999
45,2011,1.0,1.0,0.0,46.0,0.0,101.0,12.47,1.992,2.348,0.0,0.97,16.26,9.999,9999.9,999.0,99.9,13.9,999.9,1019.25,999.99,99.9,9.999
46,2011,1.0,1.0,0.0,47.0,0.0,101.0,12.47,1.999,2.336,0.0,1.0,16.26,9.999,9999.9,999.0,99.9,13.9,999.9,1019.28,999.99,99.9,9.999
47,2011,1.0,1.0,0.0,48.0,0.0,101.0,12.47,2.017,2.328,0.0,1.0,16.28,9.999,9999.9,999.0,99.9,13.8,999.9,1019.31,999.99,99.9,9.999
48,2011,1.0,1.0,0.0,49.0,0.0,101.0,12.46,2.034,2.307,0.0,1.0,16.27,9.999,9999.9,999.0,99.9,13.8,999.9,1019.32,999.99,99.9,9.999
49,2011,1.0,1.0,0.0,50.0,0.0,101.0,12.46,2.039,2.297,0.0,1.0,16.27,9.999,9999.9,999.0,99.9,13.8,999.9,1019.37,999.99,99.9,9.999
