time,bbp_mean,bbp_max,bbp_min,bbp_sd,cdm_mean,cdm_max,cdm_min,cdm_sd,sstt_mean,sst_max,sst_min,sst_sd
2007-01-01,0.002035605561111111,0.0036143719,0.0014564332,0.0006542246001025148,0.03409254772222223,0.053075533,0.016672408,0.011940051535526757,293.6426626666667,294.43,292.88,0.40961941435582794
2007-01-02,0.002496373635159817,0.02928078,0.0010753664,0.00295896701346295,0.05055669030593607,0.30352736,0.028534269,0.03200020229162866,293.6083592727273,294.37,292.91998,0.38075925302011804
2007-01-03,0.002166373276635514,0.015615191,0.0012430545,0.001364131635587484,0.051247289149532714,0.16050966,0.029707994,0.027788983672051744,293.58811733333334,294.28998,292.91998,0.362820435171738
2007-01-04,0.0024205775421052627,0.006419662,0.0012856813,0.0008741194182817348,0.035710203062200956,0.08944198,0.023958437,0.01212590576480173,293.898784969697,294.63998,293.09,0.45196371819311837
2007-01-05,0.00575058274375,0.009275596,0.0029393781,0.002605828870042924,0.016834939187500002,0.025014557,0.0115264235,0.005152046039079063,293.37017806060607,294.05,292.75,0.3436928221269375
2007-01-06,0.0027719830929192548,0.021860264,0.00081122306,0.003988824933232423,0.08773142244720497,0.25792328,0.041444767,0.0474890077020227,292.94217684848485,293.72998,292.25,0.4084123882521258
2007-01-07,0.001598509975,0.001937473,0.0009887087,0.00024073770725760232,0.10343251755555555,0.13314703,0.063612215,0.020161482282930954,292.9005410909091,293.59,292.25,0.3708975312588659
2007-01-08,0.0021172238391587678,0.011595222,0.00113668245,0.001164078603973486,0.08400173579910479,0.2376204,0.0457073745,0.028873624763738184,293.63690387878785,294.41,292.9,0.4050915820325704
2007-01-09,0.0026359377033175354,0.021252971,0.0012846562,0.0020874195006893694,0.06457095404265403,0.34209377,0.027802534,0.03758576724454542,293.1191478787879,293.85,292.33,0.3980924071833848
2007-01-10,0.002951439981503729,0.01370575575,0.00176278775,0.0013579420708045844,0.04608677093411771,0.19739259250000002,0.021054794,0.024105420396859718,293.31369296969694,294.02,292.49,0.39613576863151606
2007-01-11,0.0032669422596899225,0.0061585405,0.0022409193,0.0006284646409197989,0.027602587825581396,0.052691415,0.014307054,0.010625073549174016,293.3158747878788,294.02,292.5,0.38864127407749405
2007-01-12,0.002546440597272727,0.020814594,0.0005260502,0.0021273128821558676,0.06776350715454545,0.22634509,0.030860938,0.02855814422453883,292.94587442424245,293.72,292.16998,0.4424217834445719
2007-01-13,0.002472561912044185,0.0144794695,0.00103037495,0.0015322434312953232,0.0633331448147029,0.173136673,0.028545132,0.02504027897678794,292.7919953939394,293.5,292.09,0.40493871451166424
2007-01-14,0.0023986832268156426,0.008144345,0.0015346997,0.0009371739804347791,0.05890278247486033,0.119928256,0.026229326,0.021522413729037054,292.5780549090909,293.25,291.91998,0.3819060138603625
2007-01-15,0.002640066210109949,0.01107152825,0.001209362265,0.001387152830384496,0.06428602614434506,0.135908728,0.032709811,0.02382204753917167,292.551572,293.25,291.84,0.4260016794527592
2007-01-16,0.002881449193404255,0.0139987115,0.00088402483,0.001837131680334213,0.06966926981382979,0.1518892,0.039190296,0.026121681349306286,292.262904,292.91,291.61,0.3940615166176844
2007-01-17,0.0027853275210729224,0.01643902066666667,0.0011209022866666668,0.0018502558853272515,0.06633607669298054,0.15330508,0.03333463033333333,0.026290900932046623,292.39235854545456,293.25998,291.63,0.47353899680535966
2007-01-18,0.0026892058487415897,0.018879329833333333,0.0013577797433333334,0.0018633800903202899,0.0630028835721313,0.15472096,0.027478964666666668,0.026460120514786963,292.4133893333333,293.4,291.63998,0.5011410404926081
2007-01-19,0.002593084176410257,0.021319639,0.0015946572,0.0018765042953133282,0.05966969045128206,0.15613684,0.021623299,0.0266293400975273,292.49411709090907,293.50998,291.68,0.5348661012711937
2007-01-20,0.002362402325233645,0.0055871867,0.0016227424,0.0005484439823288431,0.053075067266355136,0.13495648,0.028039059,0.01802460517481187,291.87175406060607,292.82,291.1,0.5214353475309929
2007-01-21,0.0033177157,0.0034735408,0.0031587519,0.00014629891776713527,0.014998281799999999,0.0151329385,0.014745566,0.0001591844696353101,292.2923592727273,293.11,291.49,0.5051479329130215
2007-01-22,0.0019931006850574715,0.0045581716,0.0014049963,0.00042009314671611426,0.08363344348850575,0.12923822,0.04236058,0.022160645330023574,292.11163212121215,292.88,291.31,0.4720022561164392
2007-01-23,0.0026097691942583733,0.010337917,0.0015945176,0.0011393026151905077,0.08462568527272728,0.18842393,0.035525914,0.026559922532829246,292.10017636363636,292.88998,291.3,0.4720798150130867
2007-01-24,0.002093085385148515,0.004417917,0.0012516044,0.0006098450133103269,0.07981121387623762,0.14494826,0.035625495,0.027375290135280853,292.41345054545457,293.18,291.5,0.49873371774663955
2007-01-25,0.0029842301190045246,0.021303946,0.0016013648,0.0019389029926762083,0.0680854306199095,0.24744965,0.032452393,0.030822398380349912,291.4865402424242,292.22998,290.66998,0.451079684296816
2007-01-26,0.0028113907540404043,0.0039447607,0.0016042494,0.0004806912611492175,0.062259840505050505,0.1640957,0.031839505,0.023786679082837665,291.58260096969695,292.28998,290.77,0.42719832733987234
2007-01-27,0.002980908264220184,0.010073706,0.0012690044,0.0014201709422304667,0.0499231490733945,0.1124307,0.029244667,0.014231145900458186,291.88823781818184,292.6,291.13,0.42581093109969936
2007-01-28,0.0029291241466449756,0.009391086,0.0011138914,0.001205701205293002,0.04261682771983679,0.105298743,0.021972112499999998,0.014011585395219921,291.7555099393939,292.34,291.06,0.35055410068273907
